venue,city,matches
"Wankhede Stadium, Mumbai",Mumbai,45
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,28
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,24
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,20
"Eden Gardens, Kolkata",Kolkata,16
"Brabourne Stadium, Mumbai",Mumbai,16
"Arun Jaitley Stadium, Delhi",Delhi,16
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,14
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,14
"Maharashtra Cricket Association Stadium, Pune",Pune,13
Dubai International Cricket Stadium,Dubai,13
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,13
Sharjah Cricket Stadium,Sharjah,10
"Sawai Mansingh Stadium, Jaipur",Jaipur,10
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,8
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,5
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,4
"Barsapara Cricket Stadium, Guwahati",Guwahati,3
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2
